review_id,product_category,timestamp,country,rating,review,sentiment
1,Books,2023-01-01,GB,3,"Solid build, attractive design, works as advertised. Love it.",positive
2,Toys,2023-01-01,DE,5,Ich liebe dieses Produkt! ⭐⭐⭐,positive
3,Beauty,2023-01-01,AU,3,Three stars — meets THE minimum expectations.,neutral
4,Toys,2023-01-01,US,5,"Solid build, attractive design, works as advertised. Love it.",positive
5,Electronics,2023-01-01,CA,2,Broken on arrival. Return process was a NIGHTMARE.,negative
6,Sports,2023-01-01,AR,2,Terrible servicio al cliente. JAMÁS volvería a comprar aquí.,negative
7,Home & Living,2023-01-01,DE,3,"Solide, aber unremarkabel. Würde ICH nicht unbedingt empfehlen.",neutral
8,Beauty,2023-01-01,GB,4,"Superb quality, very sturdy and well-made. Five stars. ⭐",positive
9,Food & Grocery,2023-01-01,CH,3,C'est correct pour le prix. lol 👍,neutral
10,Food & Grocery,2023-01-01,AU,4,Really impressed with the build quality. Would buy again.,positive
11,Books,2023-01-01,GB,3,Okay for the price. Don't expect premium quality.,neutral
12,Sports,2023-01-01,AR,5,Estoy muy satisfecho con ESTE artículo. Funciona de maravilla.,positive
13,Home & Living,2023-01-01,IE,5,Very pleased with this purchase. Quick delivery too!,positive
14,Beauty,2023-01-01,AU,4,Perfect gift idea. Delivery was speedy and packaging WAS great. 😊,positive
15,Fashion,2023-01-01,AT,5,Fantastisches Produkt zu einem fairen Preis. Top!,positive
16,Books,2023-01-01,GB,4,This is genuinely one of the best products I have bought online.,positive
17,Electronics,2023-01-01,GB,4,"EXCELLENT product, highly recommend! BEST EVER!!!",positive
18,Sports,2023-01-01,MX,5,Calidad premium a un precio justo. Muy satisfecho.,positive
19,Food & Grocery,2023-01-01,DE,5,Ich liebe dieses Produkt! ⭐⭐⭐,positive
20,Toys,2023-01-01,DE,2,Falsch beworben. Entspricht überhaupt nicht der Beschreibung.,negative
21,Toys,2023-01-01,CH,2,Très déçu par la qualité. Je ne recommande pas.,negative
22,Electronics,2023-01-01,FR,5,Excellent! Je suis très satisfait. Cinq étoiles méritées.,positive
23,Electronics,2023-01-01,GB,3,Does the job. Not amazing but not bad either.,neutral
24,Home & Living,2023-01-01,ES,5,¡Fantástico! Supera todas mis expectativas. Cinco estrellas.,positive
25,Fashion,2023-01-01,ES,5,Calidad excepcional para el precio. Muy recomendable.,positive
26,Toys,2023-01-01,US,3,It's alright. Nothing to complain about really.,neutral
27,Electronics,2023-01-01,DE,3,Geht so. Erfüllt seinen Zweck ausreichend.,neutral
28,Sports,2023-01-01,US,2,Very disappointed. Nothing like the photos on the listing.,negative
29,Books,2023-01-01,CH,4,"Parfait! Rien à redire, je commande à nouveau.",positive
30,Beauty,2023-01-01,GB,3,It's alright. Nothing to COMPLAIN about really.,neutral
31,Beauty,2023-01-01,DE,2,"Schlechte Qualität, sieht gar nicht so aus wie auf den Fotos.",negative
32,Beauty,2023-01-01,FR,2,Produit inutilisable dès la première utilisation. Honteux.,negative
33,Sports,2023-01-01,DE,5,Hervorragende Qualität. Würde ich sofort wieder kaufen.,positive
34,Fashion,2023-01-01,DE,3,"Schlechte Qualität, sieht gar nicht so aus wie auf den Fotos.",negative
35,Sports,2023-01-01,GB,2,Broken on arrival. Return process was a nightmare.,negative
36,Books,2023-01-01,MX,4,¡Maravilloso! Toda la familia está encantada con el producto.,positive
37,Home & Living,2023-01-01,FR,3,Dans la moyenne. Rien ne m'a particulièrement déçu ou impressionné. 👍,neutral
38,Toys,2023-01-01,DE,5,"Bin begeistert! Qualität top, Lieferung blitzschnell.",positive
39,Sports,2023-01-01,FR,4,Produit de très bonne qualité. Je recommande sans hésitation.,positive
40,Sports,2023-01-01,AT,2,Absoluter Betrug! Produkt nie erhalten. Finger weg!,negative
41,Sports,2023-01-01,US,1,The worst product I have ever purchased. Total disappointment.,negative
42,Home & Living,2023-01-01,FR,4,Produit de très bonne qualité. Je recommande sans hésitation.,positive
43,Home & Living,2023-01-01,AR,5,"Perfecto, nada que reprochar. Volvería a comprar. 👍",positive
44,Books,2023-01-01,IE,4,Arrived on time and works perfectly. Very satisfied.,positive
45,Fashion,2023-01-01,US,4,"Superb QUALITY, very sturdy and well-made. Five stars.",positive
46,Books,2023-01-01,IE,5,"Solid build, attractive design, works as advertised. Love it.",positive
47,Toys,2023-01-01,US,4,"Top-notch quality, exactly what I needed.",positive
48,Food & Grocery,2023-01-01,FR,5,Vraiment impressionné par la qualité. Je RACHÈTERAI.,positive
49,Sports,2023-01-01,ES,2,¡Una estafa! Nunca recibí el pedido. ¡Evítenlo!,negative
50,Food & Grocery,2023-01-01,DE,2,Schreckliche Qualität. Ich werde hier nie wieder bestellen.,negative
51,Fashion,2023-01-01,US,3,Okay for the price. Don't expect premium quality.,neutral
52,Electronics,2023-01-01,DE,4,Hervorragende Qualität. Würde ich sofort wieder kaufen.,positive
53,Toys,2023-01-01,CA,4,Product arrived quickly and looks exactly as described. Very happy.,positive
54,Home & Living,2023-01-01,DE,5,Hervorragende Qualität. Würde ich sofort wieder kaufen.,positive
